	result.test_acc	feat.last_char	feat.tag_filter	feat.use_padding	feat.sample_per_class	feat.include_smaller_ngrams	feat.N	feat.grep_filter	feat.tag_limit_in_cluster	feat.shuffled	feat.uniq_lines	feat.tag_filter_len	feat.grep_filter_len	model.nb_epoch	model.activations	model.batch_size	model.input_dim	model.output_dim	model.loss	model.layers	model.optimizer
795	0.9996666666666668	6.0	('VERB',)	True	30000.0	True	2.0	('<COND',)			False	1.0	1.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	2590.0	2.0	binary_crossentropy	(40, 40)	rmsprop
817	0.9996666666666668	5.0	('VERB',)	True	30000.0	True	1.0	('<COND',)			False	1.0	1.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	221.0	2.0	binary_crossentropy	(40, 40)	rmsprop
819	0.9993333333333332	7.0	('VERB',)	True	30000.0	True	1.0	('<COND',)			False	1.0	1.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	317.0	2.0	binary_crossentropy	(40, 40)	rmsprop
818	0.9991666666666666	6.0	('VERB',)	True	30000.0	True	1.0	('<COND',)			False	1.0	1.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	262.0	2.0	binary_crossentropy	(40, 40)	rmsprop
861	0.9990000000000001	4.0	('VERB',)	True	30000.0	True	3.0	('<COND',)			False	1.0	1.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	4348.0	2.0	binary_crossentropy	(40, 40)	rmsprop
858	0.9986666666666668	4.0	('VERB',)	True	30000.0	True	2.0	('<COND',)			False	1.0	1.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	1318.0	2.0	binary_crossentropy	(40, 40)	rmsprop
855	0.9986666666666668	4.0	('VERB',)	True	30000.0	True	1.0	('<COND',)			False	1.0	1.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	177.0	2.0	binary_crossentropy	(40, 40)	rmsprop
886	0.998	8.0	('CONJ', 'NOUN')	True	30000.0	True	1.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	598.0	2.0	binary_crossentropy	(40, 40)	rmsprop
893	0.9973333333333332	8.0	('CONJ', 'NOUN')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	7012.0	2.0	binary_crossentropy	(40, 40)	rmsprop
884	0.997	6.0	('CONJ', 'NOUN')	True	30000.0	True	1.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	475.0	2.0	binary_crossentropy	(40, 40)	rmsprop
891	0.997	6.0	('CONJ', 'NOUN')	True	30000.0	True	2.0				False	2.0		300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	5318.0	2.0	binary_crossentropy	(40, 40)	rmsprop
913	0.9968333333333332	7.0	('VERB',)	True	30000.0	True	1.0	('<PAST',)			False	1.0	1.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	321.0	2.0	binary_crossentropy	(40, 40)	rmsprop
918	0.9968333333333332	5.0	('VERB',)	True	30000.0	True	2.0	('<PAST',)			False	1.0	1.0	300.0	('sigmoid', 'sigmoid', 'sigmoid')	500.0	2024.0	2.0	binary_crossentropy	(40, 40)	rmsprop
